Seccion,Cantidad,Porcentaje
63.0,27,3.907380607814761
83.0,24,3.4732272069464547
19.0,20,2.894356005788712
43.0,19,2.7496382054992763
42.0,19,2.7496382054992763
23.0,16,2.3154848046309695
49.0,16,2.3154848046309695
25.0,15,2.170767004341534
81.0,15,2.170767004341534
55.0,15,2.170767004341534
65.0,15,2.170767004341534
41.0,15,2.170767004341534
57.0,14,2.0260492040520983
45.0,14,2.0260492040520983
61.0,14,2.0260492040520983
27.0,13,1.881331403762663
33.0,13,1.881331403762663
40.0,12,1.7366136034732274
39.0,12,1.7366136034732274
15.0,12,1.7366136034732274
53.0,11,1.5918958031837915
74.0,11,1.5918958031837915
35.0,11,1.5918958031837915
72.0,11,1.5918958031837915
87.0,11,1.5918958031837915
59.0,11,1.5918958031837915
17.0,10,1.447178002894356
47.0,10,1.447178002894356
60.0,10,1.447178002894356
37.0,10,1.447178002894356
51.0,10,1.447178002894356
67.0,9,1.3024602026049203
13.0,8,1.1577424023154848
36.0,8,1.1577424023154848
93.0,7,1.0130246020260492
21.0,7,1.0130246020260492
73.0,7,1.0130246020260492
3.0,7,1.0130246020260492
4.0,7,1.0130246020260492
54.0,7,1.0130246020260492
10.0,7,1.0130246020260492
18.0,7,1.0130246020260492
29.0,7,1.0130246020260492
48.0,7,1.0130246020260492
77.0,6,0.8683068017366137
6.0,6,0.8683068017366137
85.0,6,0.8683068017366137
82.0,6,0.8683068017366137
22.0,6,0.8683068017366137
62.0,6,0.8683068017366137
30.0,6,0.8683068017366137
31.0,6,0.8683068017366137
69.0,6,0.8683068017366137
38.0,6,0.8683068017366137
75.0,5,0.723589001447178
24.0,5,0.723589001447178
12.0,5,0.723589001447178
8.0,5,0.723589001447178
91.0,5,0.723589001447178
44.0,4,0.5788712011577424
32.0,4,0.5788712011577424
5.0,4,0.5788712011577424
14.0,4,0.5788712011577424
76.0,4,0.5788712011577424
1.0,4,0.5788712011577424
89.0,4,0.5788712011577424
71.0,4,0.5788712011577424
28.0,3,0.43415340086830684
80.0,3,0.43415340086830684
79.0,3,0.43415340086830684
9.0,3,0.43415340086830684
7.0,3,0.43415340086830684
20.0,3,0.43415340086830684
64.0,3,0.43415340086830684
26.0,3,0.43415340086830684
16.0,3,0.43415340086830684
11.0,2,0.2894356005788712
34.0,2,0.2894356005788712
2.0,2,0.2894356005788712
84.0,1,0.1447178002894356
56.0,1,0.1447178002894356
50.0,1,0.1447178002894356
46.0,1,0.1447178002894356
96.0,1,0.1447178002894356
88.0,1,0.1447178002894356
22.5,1,0.1447178002894356
66.0,1,0.1447178002894356
95.0,1,0.1447178002894356
98.0,1,0.1447178002894356
