MetrosCuadrados,Cantidad,Porcentaje
584.52,2,0.3552397868561279
221.93,2,0.3552397868561279
206.88,1,0.17761989342806395
14.93,1,0.17761989342806395
18.3,1,0.17761989342806395
18.0,1,0.17761989342806395
17.93,1,0.17761989342806395
16.46,1,0.17761989342806395
15.9,1,0.17761989342806395
15.22,1,0.17761989342806395
14.23,1,0.17761989342806395
6.12,1,0.17761989342806395
12.7,1,0.17761989342806395
12.06,1,0.17761989342806395
10.88,1,0.17761989342806395
10.63,1,0.17761989342806395
7.89,1,0.17761989342806395
6.53,1,0.17761989342806395
18.36,1,0.17761989342806395
30.03,1,0.17761989342806395
28.82,1,0.17761989342806395
25.86,1,0.17761989342806395
24.63,1,0.17761989342806395
23.01,1,0.17761989342806395
22.33,1,0.17761989342806395
30.51,1,0.17761989342806395
22.0,1,0.17761989342806395
21.35,1,0.17761989342806395
19.58,1,0.17761989342806395
19.28,1,0.17761989342806395
18.89,1,0.17761989342806395
18.86,1,0.17761989342806395
18.62,1,0.17761989342806395
21.61,1,0.17761989342806395
150.65,1,0.17761989342806395
6.4,1,0.17761989342806395
30.19,1,0.17761989342806395
73.58,1,0.17761989342806395
42.48,1,0.17761989342806395
51.49,1,0.17761989342806395
50.0,1,0.17761989342806395
44.9,1,0.17761989342806395
43.28,1,0.17761989342806395
42.96,1,0.17761989342806395
42.84,1,0.17761989342806395
42.34,1,0.17761989342806395
32.84,1,0.17761989342806395
41.63,1,0.17761989342806395
41.59,1,0.17761989342806395
39.33,1,0.17761989342806395
39.13,1,0.17761989342806395
38.75,1,0.17761989342806395
38.0,1,0.17761989342806395
52.59,1,0.17761989342806395
69.14,1,0.17761989342806395
66.3,1,0.17761989342806395
65.44,1,0.17761989342806395
64.9,1,0.17761989342806395
64.2,1,0.17761989342806395
61.38,1,0.17761989342806395
32.96,1,0.17761989342806395
61.29,1,0.17761989342806395
60.52,1,0.17761989342806395
58.4,1,0.17761989342806395
57.79,1,0.17761989342806395
56.9,1,0.17761989342806395
56.46,1,0.17761989342806395
52.95,1,0.17761989342806395
60.73,1,0.17761989342806395
70.12,1,0.17761989342806395
70.89,1,0.17761989342806395
112.15,1,0.17761989342806395
34.93,1,0.17761989342806395
85.97,1,0.17761989342806395
90.96,1,0.17761989342806395
90.7,1,0.17761989342806395
90.26,1,0.17761989342806395
88.36,1,0.17761989342806395
88.1,1,0.17761989342806395
86.23,1,0.17761989342806395
85.17,1,0.17761989342806395
74.5,1,0.17761989342806395
84.76,1,0.17761989342806395
84.55,1,0.17761989342806395
84.49,1,0.17761989342806395
84.38,1,0.17761989342806395
80.87,1,0.17761989342806395
80.46,1,0.17761989342806395
93.2,1,0.17761989342806395
108.79,1,0.17761989342806395
107.45,1,0.17761989342806395
105.94,1,0.17761989342806395
104.3,1,0.17761989342806395
101.56,1,0.17761989342806395
101.07,1,0.17761989342806395
109.1,1,0.17761989342806395
98.72,1,0.17761989342806395
96.71,1,0.17761989342806395
96.45,1,0.17761989342806395
95.92,1,0.17761989342806395
95.61,1,0.17761989342806395
95.46,1,0.17761989342806395
94.91,1,0.17761989342806395
96.72,1,0.17761989342806395
5.73,1,0.17761989342806395
77.12,1,0.17761989342806395
109.0,1,0.17761989342806395
113.21,1,0.17761989342806395
125.84,1,0.17761989342806395
130.91,1,0.17761989342806395
130.55,1,0.17761989342806395
130.45,1,0.17761989342806395
129.6,1,0.17761989342806395
129.32,1,0.17761989342806395
128.1,1,0.17761989342806395
125.45,1,0.17761989342806395
110.32,1,0.17761989342806395
124.23,1,0.17761989342806395
121.33,1,0.17761989342806395
121.15,1,0.17761989342806395
119.3,1,0.17761989342806395
116.53,1,0.17761989342806395
113.92,1,0.17761989342806395
131.48,1,0.17761989342806395
150.0,1,0.17761989342806395
149.98,1,0.17761989342806395
149.0,1,0.17761989342806395
148.45,1,0.17761989342806395
145.36,1,0.17761989342806395
144.16,1,0.17761989342806395
111.23,1,0.17761989342806395
143.6,1,0.17761989342806395
141.18,1,0.17761989342806395
139.8,1,0.17761989342806395
139.49,1,0.17761989342806395
137.13,1,0.17761989342806395
131.97,1,0.17761989342806395
131.66,1,0.17761989342806395
141.34,1,0.17761989342806395
71.02,1,0.17761989342806395
35.0,1,0.17761989342806395
150.56,1,0.17761989342806395
207.76,1,0.17761989342806395
170.85,1,0.17761989342806395
181.29,1,0.17761989342806395
181.02,1,0.17761989342806395
180.2,1,0.17761989342806395
177.16,1,0.17761989342806395
175.24,1,0.17761989342806395
174.48,1,0.17761989342806395
168.52,1,0.17761989342806395
153.73,1,0.17761989342806395
165.46,1,0.17761989342806395
163.74,1,0.17761989342806395
162.05,1,0.17761989342806395
159.0,1,0.17761989342806395
158.8,1,0.17761989342806395
158.55,1,0.17761989342806395
181.76,1,0.17761989342806395
196.33,1,0.17761989342806395
195.78,1,0.17761989342806395
195.31,1,0.17761989342806395
194.37,1,0.17761989342806395
193.95,1,0.17761989342806395
192.63,1,0.17761989342806395
201.42,1,0.17761989342806395
192.41,1,0.17761989342806395
191.0,1,0.17761989342806395
190.65,1,0.17761989342806395
190.63,1,0.17761989342806395
189.32,1,0.17761989342806395
188.6,1,0.17761989342806395
187.23,1,0.17761989342806395
191.73,1,0.17761989342806395
151.33,1,0.17761989342806395
156.95,1,0.17761989342806395
199.06,1,0.17761989342806395
271.76,1,0.17761989342806395
225.7,1,0.17761989342806395
236.25,1,0.17761989342806395
233.46,1,0.17761989342806395
231.28,1,0.17761989342806395
229.61,1,0.17761989342806395
227.71,1,0.17761989342806395
226.76,1,0.17761989342806395
