Comuna,Cantidad,Porcentaje
12,108,15.606936416184972
13,71,10.260115606936417
11,69,9.971098265895954
14,59,8.526011560693641
15,58,8.38150289017341
6,47,6.791907514450866
10,42,6.069364161849711
7,41,5.924855491329479
4,39,5.635838150289017
9,39,5.635838150289017
1,35,5.057803468208093
5,31,4.479768786127168
3,25,3.6127167630057806
2,14,2.023121387283237
8,14,2.023121387283237
