Manzana,Cantidad,Porcentaje
70,14,2.023121387283237
95,9,1.300578034682081
26,9,1.300578034682081
19,8,1.1560693641618496
4,8,1.1560693641618496
50,8,1.1560693641618496
34,8,1.1560693641618496
58,7,1.0115606936416186
5,7,1.0115606936416186
32,7,1.0115606936416186
30,7,1.0115606936416186
3,7,1.0115606936416186
22,7,1.0115606936416186
59,7,1.0115606936416186
7,7,1.0115606936416186
38,7,1.0115606936416186
28,7,1.0115606936416186
113,6,0.8670520231213872
48,6,0.8670520231213872
71,6,0.8670520231213872
84,6,0.8670520231213872
36,6,0.8670520231213872
13,6,0.8670520231213872
31,6,0.8670520231213872
42,6,0.8670520231213872
49,6,0.8670520231213872
67,5,0.7225433526011561
33,5,0.7225433526011561
53,5,0.7225433526011561
54,5,0.7225433526011561
90,5,0.7225433526011561
108,5,0.7225433526011561
51,5,0.7225433526011561
109,5,0.7225433526011561
57,5,0.7225433526011561
27,5,0.7225433526011561
63,5,0.7225433526011561
102,5,0.7225433526011561
62,5,0.7225433526011561
85,5,0.7225433526011561
29,5,0.7225433526011561
24,5,0.7225433526011561
17,5,0.7225433526011561
128,5,0.7225433526011561
82,5,0.7225433526011561
69,5,0.7225433526011561
20,5,0.7225433526011561
134,5,0.7225433526011561
23,5,0.7225433526011561
76,4,0.5780346820809248
94,4,0.5780346820809248
43,4,0.5780346820809248
56,4,0.5780346820809248
44,4,0.5780346820809248
114,4,0.5780346820809248
52,4,0.5780346820809248
126,4,0.5780346820809248
10,4,0.5780346820809248
12,4,0.5780346820809248
45,4,0.5780346820809248
140,4,0.5780346820809248
21,4,0.5780346820809248
15,4,0.5780346820809248
100,4,0.5780346820809248
72,4,0.5780346820809248
105,4,0.5780346820809248
158,4,0.5780346820809248
47,4,0.5780346820809248
41,4,0.5780346820809248
46,4,0.5780346820809248
68,4,0.5780346820809248
107,4,0.5780346820809248
9,4,0.5780346820809248
37,4,0.5780346820809248
74,4,0.5780346820809248
112,3,0.4335260115606936
106,3,0.4335260115606936
154,3,0.4335260115606936
116,3,0.4335260115606936
133,3,0.4335260115606936
93,3,0.4335260115606936
1,3,0.4335260115606936
123,3,0.4335260115606936
96,3,0.4335260115606936
159,3,0.4335260115606936
14,3,0.4335260115606936
78,3,0.4335260115606936
99,3,0.4335260115606936
152,3,0.4335260115606936
118,3,0.4335260115606936
145,3,0.4335260115606936
150,3,0.4335260115606936
2,3,0.4335260115606936
40,3,0.4335260115606936
75,3,0.4335260115606936
180,3,0.4335260115606936
25A,3,0.4335260115606936
81,3,0.4335260115606936
6,3,0.4335260115606936
65,3,0.4335260115606936
60,3,0.4335260115606936
39,3,0.4335260115606936
165,3,0.4335260115606936
131,3,0.4335260115606936
11,3,0.4335260115606936
87,3,0.4335260115606936
6A,2,0.2890173410404624
174,2,0.2890173410404624
143,2,0.2890173410404624
66,2,0.2890173410404624
83,2,0.2890173410404624
142,2,0.2890173410404624
79,2,0.2890173410404624
64,2,0.2890173410404624
164,2,0.2890173410404624
153,2,0.2890173410404624
21c,2,0.2890173410404624
176,2,0.2890173410404624
16,2,0.2890173410404624
61,2,0.2890173410404624
8,2,0.2890173410404624
18,2,0.2890173410404624
179,2,0.2890173410404624
77,2,0.2890173410404624
80,2,0.2890173410404624
48B,2,0.2890173410404624
25,2,0.2890173410404624
9A,2,0.2890173410404624
127,2,0.2890173410404624
55,2,0.2890173410404624
125,2,0.2890173410404624
86,2,0.2890173410404624
130,2,0.2890173410404624
57B,2,0.2890173410404624
129,2,0.2890173410404624
115,2,0.2890173410404624
97,2,0.2890173410404624
89,2,0.2890173410404624
35,2,0.2890173410404624
101,2,0.2890173410404624
39B,2,0.2890173410404624
40B,2,0.2890173410404624
120,2,0.2890173410404624
3A,1,0.1445086705202312
252b,1,0.1445086705202312
221,1,0.1445086705202312
225,1,0.1445086705202312
226,1,0.1445086705202312
24B,1,0.1445086705202312
22B,1,0.1445086705202312
248,1,0.1445086705202312
006A,1,0.1445086705202312
252A,1,0.1445086705202312
254B,1,0.1445086705202312
162,1,0.1445086705202312
166,1,0.1445086705202312
055B,1,0.1445086705202312
110,1,0.1445086705202312
10A,1,0.1445086705202312
107A,1,0.1445086705202312
104,1,0.1445086705202312
103,1,0.1445086705202312
078A,1,0.1445086705202312
062A,1,0.1445086705202312
25B,1,0.1445086705202312
054B,1,0.1445086705202312
047B,1,0.1445086705202312
045A,1,0.1445086705202312
040B,1,0.1445086705202312
040A,1,0.1445086705202312
167,1,0.1445086705202312
218,1,0.1445086705202312
26C,1,0.1445086705202312
174b,1,0.1445086705202312
206,1,0.1445086705202312
203,1,0.1445086705202312
200A,1,0.1445086705202312
1V,1,0.1445086705202312
1A,1,0.1445086705202312
198,1,0.1445086705202312
193A,1,0.1445086705202312
186,1,0.1445086705202312
185,1,0.1445086705202312
182B,1,0.1445086705202312
178B,1,0.1445086705202312
177,1,0.1445086705202312
173,1,0.1445086705202312
28A,1,0.1445086705202312
171,1,0.1445086705202312
170,1,0.1445086705202312
169,1,0.1445086705202312
210,1,0.1445086705202312
211,1,0.1445086705202312
215,1,0.1445086705202312
036B,1,0.1445086705202312
38D,1,0.1445086705202312
35D,1,0.1445086705202312
33b,1,0.1445086705202312
33B,1,0.1445086705202312
31A,1,0.1445086705202312
039A,1,0.1445086705202312
159A,1,0.1445086705202312
016A,1,0.1445086705202312
6B,1,0.1445086705202312
66B,1,0.1445086705202312
82A,1,0.1445086705202312
55B,1,0.1445086705202312
62D,1,0.1445086705202312
57A,1,0.1445086705202312
83A,1,0.1445086705202312
85B,1,0.1445086705202312
83C,1,0.1445086705202312
59A,1,0.1445086705202312
84B,1,0.1445086705202312
6f,1,0.1445086705202312
8A,1,0.1445086705202312
91,1,0.1445086705202312
69A,1,0.1445086705202312
77a,1,0.1445086705202312
9a,1,0.1445086705202312
75B,1,0.1445086705202312
99B,1,0.1445086705202312
98A,1,0.1445086705202312
98,1,0.1445086705202312
73,1,0.1445086705202312
79B,1,0.1445086705202312
96A,1,0.1445086705202312
5D,1,0.1445086705202312
70B,1,0.1445086705202312
50B,1,0.1445086705202312
87A,1,0.1445086705202312
88,1,0.1445086705202312
008A,1,0.1445086705202312
142b,1,0.1445086705202312
110B,1,0.1445086705202312
115001,1,0.1445086705202312
119,1,0.1445086705202312
124,1,0.1445086705202312
160A,1,0.1445086705202312
15a,1,0.1445086705202312
158c,1,0.1445086705202312
158E,1,0.1445086705202312
155,1,0.1445086705202312
148B,1,0.1445086705202312
144,1,0.1445086705202312
162A,1,0.1445086705202312
139,1,0.1445086705202312
84a,1,0.1445086705202312
138,1,0.1445086705202312
137B,1,0.1445086705202312
136,1,0.1445086705202312
135,1,0.1445086705202312
132,1,0.1445086705202312
130A,1,0.1445086705202312
124A,1,0.1445086705202312
141,1,0.1445086705202312
49a,1,0.1445086705202312
24A,1,0.1445086705202312
002B,1,0.1445086705202312
88B,1,0.1445086705202312
DESCONOCIDO,1,0.1445086705202312
